id,admissions,entry_gender,perc_free_meals,perc_girls,perc_sec_lang,avg_score
1,comprehensive,mixed,27.3,35.5,33.4,50.1
2,comprehensive,girls,17.5,84.4,40.3,60.1
3,comprehensive,mixed,22.8,44.8,57.8,50
4,comprehensive,mixed,40.4,40.5,69.8,47
5,comprehensive,girls,15.9,95.8,32.1,57.6
6,comprehensive,mixed,34.8,78.8,64.4,50.1
7,comprehensive,girls,27.8,95.2,36.1,55.6
8,comprehensive,mixed,38.2,44.2,83.3,43.8
9,comprehensive,boys,25.8,12,49.4,50.6
10,comprehensive,mixed,26.6,41.2,56.7,44.7
11,comprehensive,girls,15.6,97.7,31.1,51.8
12,comprehensive,mixed,37,41.7,26.1,52.7
13,comprehensive,mixed,23.2,40.1,36,43.2
14,comprehensive,girls,23.3,97.7,43.3,48.9
15,comprehensive,mixed,13.9,40.4,43,50.1
16,comprehensive,mixed,5.7,46.2,11.3,60.6
17,comprehensive,girls,9.5,100,27.6,59.3
18,comprehensive,mixed,14.7,43.1,19.7,50.5
19,comprehensive,mixed,21.3,44.5,25.1,49.9
20,comprehensive,mixed,16.2,19.1,28,50.7
21,comprehensive,boys,20.3,3.3,53,52.5
22,comprehensive,mixed,55.9,50.6,48.4,51.8
23,comprehensive,mixed,40.6,44.3,49.9,48.9
24,comprehensive,mixed,34.5,42.4,40.2,59.1
25,comprehensive,girls,34.4,100,54.8,53.2
26,comprehensive,mixed,32.6,48.7,44.5,52.6
27,comprehensive,girls,2.2,100,21.1,56
28,comprehensive,mixed,27.6,47.5,51.6,59.5
29,comprehensive,girls,25.6,99.7,64.5,53.6
30,comprehensive,mixed,39.8,37.3,39.3,51.3
31,comprehensive,mixed,38.5,45.1,64.1,50.5
32,comprehensive,mixed,22.6,46.3,26.8,54.4
33,comprehensive,mixed,53.5,38.9,57.3,44.2
34,comprehensive,girls,2.2,100,17.8,59.4
35,comprehensive,mixed,29.8,45.1,47.5,52.7
36,comprehensive,mixed,35.6,6.7,46.7,44.5
37,comprehensive,girls,31.9,100,56,56.9
38,comprehensive,mixed,28.2,43.2,60.1,52.7
39,comprehensive,mixed,26.7,39,49.7,49.4
40,comprehensive,girls,8.8,100,15,61.5
41,comprehensive,boys,4.4,6.3,34.1,65
42,comprehensive,mixed,31.8,44.1,65.7,43.6
43,comprehensive,girls,6.3,100,16.6,64.7
44,comprehensive,mixed,23.1,47.1,5.7,58.7
45,comprehensive,mixed,33,36.6,43.3,47.8
46,comprehensive,boys,27.4,3.3,55,58.2
47,comprehensive,mixed,49.6,42.2,51.3,54.4
48,comprehensive,girls,35.9,100,50.8,53.9
49,comprehensive,girls,42.4,100,59.7,53
50,comprehensive,mixed,33.5,34.8,44.5,45.5
51,comprehensive,mixed,44.3,33.6,27.7,46
52,comprehensive,girls,32.2,100,40.6,48.2
53,comprehensive,boys,25.6,2,60.1,53.9
54,comprehensive,mixed,28.1,47.2,31.2,53
55,comprehensive,boys,7.8,14.8,37.3,63
56,comprehensive,mixed,23.1,44,47.6,55
57,comprehensive,mixed,17.4,49,60.6,61.4
58,comprehensive,mixed,14.8,35.7,60.9,52.5
59,comprehensive,girls,27.4,100,46.2,51.6
60,comprehensive,mixed,25.6,6.6,36.5,46
61,comprehensive,mixed,61.4,46,39.3,46.8
62,comprehensive,mixed,10.5,45.9,47.9,60.2
63,comprehensive,mixed,14.5,47.5,19.9,51.4
64,comprehensive,mixed,24.3,41.3,37.8,47
65,comprehensive,girls,12.8,98.4,54.5,55.1
66,comprehensive,mixed,28.3,46.7,44.3,48.4
67,comprehensive,mixed,28.6,47.3,58.5,51
68,comprehensive,boys,21.1,0.5,31.5,51
69,comprehensive,mixed,24.7,49.5,39.6,48.5
70,comprehensive,mixed,40.9,45.8,64.7,54.6
71,comprehensive,mixed,26.8,58.8,35.7,46.8
72,comprehensive,girls,25.9,97.4,43.5,49.6
73,comprehensive,mixed,25,47.5,52,45.5
74,comprehensive,mixed,15.7,40.5,11,53.6
75,comprehensive,mixed,26.3,44.7,33.9,45.3
76,comprehensive,mixed,30,44.2,42.2,47.5
77,comprehensive,boys,16,0.6,19.9,46.6
78,comprehensive,mixed,17.1,49,23.5,54.1
79,comprehensive,mixed,20.5,43.3,20.2,45.7
80,comprehensive,mixed,26.4,49.4,42.6,43.2
81,comprehensive,girls,12.2,91.7,25,56.1
82,comprehensive,mixed,23,41.8,34,50.6
83,comprehensive,mixed,25.4,47.9,37.9,48.5
84,comprehensive,mixed,28.9,47.5,24.9,41.3
85,comprehensive,girls,16.8,99.6,20,54.6
86,comprehensive,mixed,14.9,42.1,24.8,49.3
87,comprehensive,mixed,52.8,45,39.6,45.6
88,comprehensive,mixed,33,36.5,46.9,48.3
89,comprehensive,mixed,43.2,49.6,40.1,48.8
90,comprehensive,mixed,12.9,47.8,5.3,57
91,comprehensive,mixed,35.5,48.6,35.1,57.4
92,comprehensive,girls,45.8,100,43.2,51.1
93,comprehensive,boys,13.4,9.5,79.9,43.8
94,comprehensive,mixed,16.6,47.2,62.2,50.6
95,comprehensive,mixed,15.4,44.1,50.8,52.7
96,comprehensive,mixed,10.3,48.3,79.2,59.6
97,comprehensive,mixed,12.7,50.2,6.8,53.6
98,comprehensive,girls,6.6,93.6,8.6,58
99,comprehensive,mixed,9.8,51.9,3.7,49.9
100,comprehensive,girls,9.2,99.2,8.8,50
101,comprehensive,mixed,10.8,40.6,7,49.2
102,comprehensive,mixed,3.9,55.2,5.2,57.3
103,comprehensive,mixed,29,46.6,8.6,45.6
104,selective,boys,9.6,0,37.1,69.6
105,selective,boys,5.4,0,26.7,77.4
106,selective,girls,5.8,100,16,74.9
107,selective,mixed,5,31.3,16.7,73.6
108,selective,girls,5.2,100,28.3,71.8
109,comprehensive,mixed,32.6,48.9,23.3,49.9
110,comprehensive,boys,45.2,0,71.4,48.9
111,comprehensive,boys,13.9,0.3,13,52.3
112,comprehensive,girls,16,99.8,11.4,59.5
113,comprehensive,mixed,43.4,47.4,45.3,42.7
114,comprehensive,boys,24.3,0,51,38.9
115,comprehensive,girls,14.6,89.7,38.1,53.9
116,comprehensive,mixed,32.2,38.8,84,45.9
117,comprehensive,mixed,26.8,43.2,40.9,48.7
118,comprehensive,mixed,51.2,47.4,30.6,42.8
119,comprehensive,mixed,20.6,49.5,25.2,46.9
120,comprehensive,mixed,5.3,56.1,6.5,58.2
121,comprehensive,mixed,5.1,53.9,1.6,56.6
122,comprehensive,mixed,16.3,48.7,2,45.2
123,comprehensive,mixed,26.1,10.2,12.6,20.1
124,comprehensive,mixed,29.2,51.9,77,49
125,comprehensive,mixed,11,48.4,27.9,49.5
126,comprehensive,mixed,33.4,48.5,29.9,34.7
127,comprehensive,mixed,36.6,51.5,83.2,45.7
128,comprehensive,mixed,21.4,48.2,69.6,46
129,comprehensive,mixed,18.7,48.1,10.2,44.2
130,comprehensive,mixed,6.9,48.3,2.8,52.6
131,comprehensive,mixed,30.9,48.2,47.3,40.3
132,comprehensive,mixed,20.4,50.1,2.7,47.4
